719.9843,-1621.5620,-0.2943,192.6770,VEHICLE,0,0
719.9754,-1621.5244,-0.3248,192.7935,VEHICLE,0,0
719.9685,-1621.4954,-0.3507,192.8669,VEHICLE,0,0
719.9703,-1621.5054,-0.3832,192.9393,VEHICLE,0,0
720.0316,-1621.7736,-0.4091,193.0018,VEHICLE,0,0
720.1429,-1622.2576,-0.4324,193.0499,VEHICLE,0,0
720.3197,-1623.0225,-0.4681,193.0846,VEHICLE,0,0
720.5301,-1623.9299,-0.5117,193.0874,VEHICLE,0,0
720.8181,-1625.1704,-0.5670,193.0535,VEHICLE,0,0
721.1658,-1626.6638,-0.6095,192.9046,VEHICLE,0,0
721.5792,-1628.4066,-0.6150,191.8176,VEHICLE,0,0
721.9933,-1630.3030,-0.5426,190.2147,VEHICLE,0,0
722.3721,-1632.3180,-0.4144,188.8453,VEHICLE,0,0
722.7224,-1634.4731,-0.2926,187.7398,VEHICLE,0,0
723.0593,-1636.8301,-0.2128,186.7415,VEHICLE,0,0
723.3789,-1639.3718,-0.1932,185.9058,VEHICLE,0,0
723.6902,-1642.1888,-0.2188,185.2235,VEHICLE,0,0
723.9712,-1645.0864,-0.2152,184.7001,VEHICLE,0,0
724.2375,-1648.1896,-0.1647,184.2737,VEHICLE,0,0
724.4772,-1651.2914,-0.0949,183.9553,VEHICLE,0,0
724.7135,-1654.6294,-0.0520,183.7395,VEHICLE,0,0
724.9201,-1657.7096,-0.0533,183.4942,VEHICLE,0,0
725.2126,-1662.4510,-0.0580,182.7785,VEHICLE,0,0
725.4073,-1666.2155,-0.0777,182.2929,VEHICLE,0,0
725.5824,-1670.2528,-0.1363,181.9006,VEHICLE,0,0
725.7202,-1673.9829,-0.2334,181.6159,VEHICLE,0,0
725.8544,-1678.2443,-0.3457,181.3572,VEHICLE,0,0
725.9644,-1682.4108,-0.3851,181.1652,VEHICLE,0,0
726.0547,-1686.5168,-0.3242,180.9994,VEHICLE,0,0
726.1309,-1690.4425,-0.1882,180.5308,VEHICLE,0,0
726.1748,-1693.9689,-0.0184,179.8553,VEHICLE,0,0
726.1792,-1697.8385,0.1820,179.1937,VEHICLE,0,0
726.1406,-1701.8435,0.3128,178.6532,VEHICLE,0,0
726.0657,-1706.0502,0.2984,178.1901,VEHICLE,0,0
725.9436,-1711.0063,0.0769,177.7525,VEHICLE,0,0
725.8027,-1715.5099,-0.2279,177.4273,VEHICLE,0,0
725.6254,-1720.1097,-0.4916,177.1495,VEHICLE,0,0
725.3964,-1725.0439,-0.6267,176.8561,VEHICLE,0,0
725.1721,-1729.2245,-0.4929,176.5460,VEHICLE,0,0
724.9659,-1732.6904,-0.2151,176.2860,VEHICLE,0,0
724.7499,-1736.0582,0.0672,176.1030,VEHICLE,0,0
724.4860,-1739.9767,0.2527,175.9534,VEHICLE,0,0
724.2355,-1743.6140,0.2611,175.8432,VEHICLE,0,0
723.9656,-1747.4773,0.1740,175.7433,VEHICLE,0,0
723.6400,-1752.0397,0.0282,175.5602,VEHICLE,0,0
723.2834,-1756.7949,-0.1646,175.1878,VEHICLE,0,0
722.9304,-1761.1362,-0.3442,174.8687,VEHICLE,0,0
722.4969,-1766.0642,-0.4648,174.5703,VEHICLE,0,0
722.0519,-1770.7854,-0.4509,174.4871,VEHICLE,0,0
721.5641,-1775.8519,-0.3077,174.7693,VEHICLE,0,0
721.1561,-1780.2639,-0.0929,175.0272,VEHICLE,0,0
720.8074,-1784.2062,0.1030,175.2146,VEHICLE,0,0
720.4122,-1788.8756,0.2349,175.3673,VEHICLE,0,0
720.0149,-1793.7678,0.2016,175.4521,VEHICLE,0,0
719.5595,-1799.5385,0.0468,175.4893,VEHICLE,0,0
719.0958,-1805.4628,-0.1032,175.4876,VEHICLE,0,0
718.6104,-1811.6270,-0.2456,175.4608,VEHICLE,0,0
718.0763,-1818.3489,-0.3044,175.4236,VEHICLE,0,0
717.6078,-1824.1929,-0.2443,175.4552,VEHICLE,0,0
717.1434,-1829.9966,-0.1504,176.1238,VEHICLE,0,0
716.7361,-1835.8334,-0.0305,177.1065,VEHICLE,0,0
716.4117,-1841.8082,0.0618,177.9054,VEHICLE,0,0
716.1566,-1848.0145,0.0557,178.5095,VEHICLE,0,0
715.9799,-1853.6576,0.0373,179.0471,VEHICLE,0,0
715.8557,-1859.3794,0.0160,179.9823,VEHICLE,0,0
715.8192,-1865.1980,-0.0235,180.8834,VEHICLE,0,0
715.9021,-1872.7021,-0.0926,181.7571,VEHICLE,0,0
716.0801,-1879.5133,-0.1936,182.3051,VEHICLE,0,0
716.3634,-1887.1167,-0.2607,182.6798,VEHICLE,0,0
716.6411,-1893.2805,-0.1657,182.8576,VEHICLE,0,0
716.9139,-1898.8804,0.0546,182.9844,VEHICLE,0,0
717.2101,-1904.6608,0.2503,182.6855,VEHICLE,0,0
717.5016,-1910.5405,0.1974,181.7263,VEHICLE,0,0
717.7680,-1917.3270,-0.1970,180.1368,VEHICLE,0,0
